ROADCODE,ROADNAME,HOUSE_NO,FACILITY,FAC_TYPE,WEBLINK,SUBTYPE,Latitude,Longitude
13200,132 STREET,6380,Panorama Ridge Secondary School,School,https://www.surreyschools.ca/schools/panoramaridge/Pages/default.aspx,Secondary,49.117920,-122.854463
14800,148 STREET, 1785,Semiahmoo Secondary School,School,https://www.surreyschools.ca/schools/semi/Pages/default.aspx,Secondary,49.035248,-122.813773
09755,GREEN TIMBERS WAY,14225,Surrey Nature Centre Administration Building,Attraction,http://www.surrey.ca/culture-recreation/2311.aspx,,49.178885,-122.830369
13200,UNIVERSITY DR,10350,Surrey Public Library Administration Office,Municipal,http://www.surrey.ca/city-government/5019.aspx,,49.190676,-122.849411
00101,FRASER HIGHWAY,16555,Surrey Sport and Leisure Complex Retail,Recreation Centre,http://www.surrey.ca/culture-recreation/4838.aspx,,49.152452,-122.763916
12040,HOLT (120 ST) ROAD,8962,Sur-Del Bottle Depot,Garbage and Recycling,https://www.return-it.ca/locations/sur-del-bottle-depot/,Bottle Depot,49.166214,-122.888982
00101,FRASER HIGHWAY,19056,Will's Auto Service,Garbage and Recycling,,Used Oil,49.120449,-122.694986
12400,124 AVENUE,8365,Perfect Auto Repairs,Garbage and Recycling,,Used Oil,49.154947,-122.879474
13601,KING GEORGE BOULEVARD,3174,Peace Arch Toyota,Garbage and Recycling,http://www.peacearchtoyota.com/,Used Oil,49.060348,-122.811008
15200,152 STREET,2025,North Bluff Shell,Garbage and Recycling,http://www.shell.ca/en/products-services/shell-for-drivers/station-locator.html,Used Oil,49.038706,-122.801488
07200,72 AVENUE,13409,Newton Auto Care,Garbage and Recycling,http://www.newtonautocare.com/,Used Oil,49.133879,-122.850762
00101,FRASER HIGHWAY,15257,Pan Pacific Nissan Ltd.,Garbage and Recycling,http://www.applewoodnissan.ca/,Used Oil,49.165742,-122.799447
13601,KING GEORGE BOULEVARD,7370,Mr. Lube (Newton),Garbage and Recycling,http://www.mrlube.com/en/Mr-Lube-Near-You/Locate-a-Mr-Lube/surrey-7030-king-george-highway.aspx?storeid=55&code=pc,Used Oil,49.130243,-122.845051
13601,KING GEORGE BOULEVARD,2381,Criterion 4 Theatres,Movie Theatre,http://www.tribute.ca/showtimes/theatre/criterion-4-white-rock/critwr/,,49.044811,-122.794084
05700,57 AVENUE,14988,Surrey Family YMCA,Other Recreation,http://www.vanymca.org/centres/tonglouie/,,49.105128,-122.806518
00101,FRASER HIGHWAY,15181,Mr. Lube (Fleetwood),Garbage and Recycling,http://www.mrlube.com/en/Mr-Lube-Near-You/Locate-a-Mr-Lube/surrey-15181-fraser-highway.aspx?storeid=34&code=pc,Used Oil,49.166864,-122.801772
17600,176 STREET,6050,Exhibition Grounds Agriplex,Other,http://www.cloverdalerodeo.com/contact-us/,,49.116252,-122.730036
13601,KING GEORGE BOULEVARD,2977,Victory Memorial Park,Cemetery,http://www.surrey.ca/city-services/2247.aspx,,49.053724,-122.811188
07200,72 AVENUE,12161,Cineplex Odeon Strawberry Hill Cinemas,Movie Theatre,http://www.cineplex.com/Theatres/TheatreDetails/Cineplex-Odeon-Strawberry-Hill-Cinemas.aspx,,49.135675,-122.885617
13600,136 STREET,1650,Ray Shepherd Elementary School,School,https://www.surreyschools.ca/schools/rayshepherd/Pages/default.aspx,Elementary,49.031963,-122.844928
06200,62 AVENUE,13460,North Ridge Elementary School,School,https://www.surreyschools.ca/schools/northridgeelementary/Pages/default.aspx,Elementary,49.114845,-122.849134
18400,184 STREET,6256,Don Christian Elementary School,School,https://www.surreyschools.ca/schools/donchristian/Pages/default.aspx,Elementary,49.116536,-122.711390
18400,184 STREET,5811,Martha Currie Elementary School,School,https://www.surreyschools.ca/schools/marthacurrie/Pages/default.aspx,Elementary,49.108110,-122.713760
09350,93A AVENUE,16126,Serpentine Heights Elementary School,School,https://www.surreyschools.ca/schools/serpentineheights/Pages/default.aspx,Elementary,49.172670,-122.775489
14400,144 STREET,8824,Green Timbers Elementary School,School,https://www.surreyschools.ca/schools/greentimbers/Pages/default.aspx,Elementary,49.163626,-122.822886
11550,115A AVENUE,12834,Bridgeview Elementary School,School,https://www.surreyschools.ca/schools/bridgeview/Pages/default.aspx,Elementary,49.211294,-122.864964
02400,24 AVENUE,15024,Star Of The Sea,School,http://www.staroftheseaschool.ca/,Private,49.044929,-122.806311
19200,192 STREET,9761,Jobrite New & Used Ford Truck Parts,Garbage and Recycling,http://surrey.cylex.ca/company/jobrite-new---used-ford-truck-parts-12680546.html,Used Oil,49.179934,-122.690942
15200,152 STREET,10025,Hallmark Ford Sales Ltd.,Garbage and Recycling,http://www.hallmarkfordsales.com/,Used Oil,49.184781,-122.801934
07600,76 AVENUE,13375,Ed Schram Motors Ltd.,Garbage and Recycling,http://www.edschrammotors.com/Home/Welcome.html,Used Oil,49.141301,-122.851895
10400,104 AVENUE,14530,Dams Ford Lincoln Sales Ltd.,Garbage and Recycling,http://damsfordloln.dealerconnection.com/,Used Oil,49.190583,-122.820043
13601,KING GEORGE BOULEVARD,7599,Canadian Tire (Newton),Garbage and Recycling,http://www.canadiantire.ca/en.html,Used Oil,49.140311,-122.847701
10200,102 AVENUE,13665,Canadian Tire (City Centre),Garbage and Recycling,http://www.canadiantire.ca/en.html,Used Oil,49.189754,-122.843277
12800,128 STREET,7443,Binaka Auto,Garbage and Recycling,http://www.binakaauto.com/,Used Oil,49.143443,-122.868998
00101,FRASER HIGHWAY,16299,Applewood Motors Inc.,Garbage and Recycling,http://www.applewoodsurrey.ca/contact-us/,Used Oil,49.155001,-122.771057
14800,148 STREET,2199,South Surrey Arena,Arena,http://www.surrey.ca/culture-recreation/1919.aspx,,49.041605,-122.815490
10500,105 AVENUE,15105,Guildford Seniors Centre,Seniors Centre,http://www.surrey.ca/culture-recreation/1876.aspx,,49.193455,-122.803738
06200,62 AVENUE,13585,Surrey Muslim School,School,http://www.surreymuslimschool.ca,Private,49.115735,-122.846287
06000,60 AVENUE,17465,William of Orange Christian School,School,http://www.credochs.com/wohome.cfm,Private,49.112524,-122.738893
05900,59 AVENUE,17511,Cloverdale Catholic,School,http://www.ccsunited.ca/,Private,49.109960,-122.737521
05600,56 AVENUE,18620,Relevant High School,School,http://www.relevanthighschool.ca,Private,49.103513,-122.706183
00101,FRASER HIGHWAY,16555,Surrey Sport and Leisure Complex,Recreation Centre,http://www.surrey.ca/culture-recreation/4838.aspx,,49.152814,-122.764155
00101,FRASER HIGHWAY,16555,Surrey Sport and Leisure Complex Arena,Arena,http://www.surrey.ca/culture-recreation/4838.aspx,,49.153346,-122.764558
00101,FRASER HIGHWAY,16555,Surrey Sport and Leisure Complex Indoor Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/1888.aspx,,49.152610,-122.764669
